Y;X1;X2
10;5;5
16057;6528;9529
6940;2988;3952
1869;266;1603
1037;594;443
13837;8881;4956
9360;9059;301
11445;8003;3442
10067;3593;6474
14906;7550;7356
5742;4641;1101
14292;7673;6619
10334;7942;2392
11847;4076;7771
3127;3101;26
6775;1358;5417
11337;9576;1761
8002;5276;2726
10052;8867;1185
17521;8058;9463
11697;9905;1792
3133;1730;1403
14802;9049;5753
15958;8796;7162
15964;9993;5971
14826;7048;7778
13077;6157;6920
6584;1313;5271
5971;3574;2397
9371;3733;5638
11026;4930;6096
2340;983;1357
10953;8499;2454
5485;3803;1682
4253;2065;2188
2970;689;2281
17249;7938;9311
12505;5414;7091
11590;1707;9883
8651;1240;7411
6962;5571;1391
7516;5851;1665
6090;4695;1395
12117;8118;3999
7397;2709;4688
13797;4744;9053
12405;7117;5288
11395;7030;4365
13987;9128;4859
13906;6927;6979
13478;3557;9921
14231;9979;4252
6602;2369;4233
7747;1044;6703
4114;3047;1067
11953;3419;8534
11796;7877;3919
8050;6128;1922
4426;2135;2291
7411;4495;2916
4199;2874;1325
13315;3736;9579
4288;2968;1320
3677;2990;687
11467;6951;4516
15855;6443;9412
4044;2134;1910
10232;8616;1616
12581;7022;5559
4384;1645;2739
9601;7092;2509
11506;5131;6375
13519;5257;8262
6941;5435;1506
9080;8099;981
6360;2987;3373
12220;6124;6096
13208;9548;3660
10134;7332;2802
7050;4273;2777
11739;2043;9696
9721;5724;3997
12434;6718;5716
8308;8124;184
10242;5391;4851
3010;2919;91
11269;1647;9622
14038;6141;7897
8528;3389;5139
14761;5985;8776
4878;2768;2110
10179;9537;642
11929;4629;7300
2491;804;1687
15588;6057;9531
7277;1211;6066
6787;874;5913
6995;4600;2395
14509;7018;7491
8505;3090;5415
8297;5320;2977
5430;1018;4412
2214;768;1446
15476;8997;6479
5706;4618;1088
6166;5647;519
10464;3237;7227
12150;3164;8986
11719;2391;9328
7137;7041;96
14624;9377;5247
12011;2547;9464
10834;8054;2780
17369;7787;9582
17645;8320;9325
4811;2696;2115
12220;9225;2995
9125;2995;6130
9612;1302;8310
7132;5322;1810
13518;9259;4259
10490;2699;7791
9045;8187;858
11127;4267;6860
1837;631;1206
15865;8977;6888
15082;8425;6657
13958;4812;9146
4046;1227;2819
14341;4794;9547
2696;2592;104
14515;7026;7489
5495;968;4527
7441;3081;4360
14839;7513;7326
7010;2316;4694
12347;9760;2587
16275;6510;9765
5935;3037;2898
3889;3591;298
8986;1080;7906
5940;4533;1407
10516;6738;3778
6339;1188;5151
11731;5367;6364
13559;5737;7822
11021;7297;3724
10217;2636;7581
10596;9532;1064
16795;8307;8488
3629;2792;837
523;105;418
15330;6515;8815
15684;7618;8066
10351;7007;3344
4910;1846;3064
4222;4134;88
8072;3342;4730
9811;7610;2201
14041;4041;10000
11718;7263;4455
9110;5094;4016
11096;8005;3091
13383;4831;8552
7027;1986;5041
4168;1884;2284
6238;2000;4238
10150;6756;3394
8654;342;8312
7883;7269;614
9353;642;8711
19402;9829;9573
9364;5976;3388
7292;7088;204
12308;4735;7573
8461;7445;1016
5475;2162;3313
8161;925;7236
12528;7806;4722
14129;9059;5070
8909;1965;6944
6381;1976;4405
9372;5157;4215
7937;4134;3803
11102;5062;6040
4655;4066;589
4368;286;4082
4602;837;3765
14869;5106;9763
16505;8787;7718
5727;1205;4522
7790;5661;2129
3360;977;2383
15297;7953;7344
10201;5697;4504
10277;9749;528
7572;1074;6498
4505;2538;1967
10924;6837;4087
4265;2265;2000
6276;4047;2229
882;627;255
6855;2162;4693
15494;6159;9335
8162;2774;5388
6453;3879;2574
7510;1385;6125
4126;2959;1167
